pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
425;1;1;1;A;1;612926.4094;5729877.80051;40392.8;f
426;1;1;1;A;1;612928.27938;5729880.7246;40393;f
427;1;1;1;A;1;612930.21387;5729883.5601;40393.2;f
428;1;1;1;A;1;612932.15509;5729886.38502;40393.4;f
429;1;1;1;A;1;612934.15898;5729889.21158;40393.6;f
430;1;1;1;A;1;612936.29203;5729892.14144;40393.8;f
431;1;1;1;A;1;612938.56534;5729894.98453;40394;f
432;1;1;1;A;1;612940.78735;5729897.9165;40394.2;f
433;1;1;1;A;1;612943.00252;5729900.85895;40394.4;f
434;1;1;1;A;1;612945.09045;5729903.89918;40394.6;f
435;1;1;1;A;1;612947.1671;5729906.84902;40394.8;f
436;1;1;1;A;1;612949.36915;5729909.79129;40395;f
